time,u_ctrl_1,u_ctrl_2,y_meas_1,y_meas_2,y_meas_3,dE,runtime
0.0,0.00010033035890667838,0.00010033035890667838,0.13533528323661242,0.013769911662650208,0.013780919614182551,0.09656132579391441,0.0
0.005,0.25615525770910114,0.25615525770910114,0.13537107470429852,0.013702199783452716,0.013690773627086884,0.09647715544743972,1.621279239654541
0.01,0.4911490841901945,0.4911490841901945,0.13486654058054465,0.013274654507934712,0.01326176722611869,0.09670115321173726,1.8865244388580322
0.015,0.7054738855097391,0.7054738855097391,0.1344083371965883,0.012878869364930785,0.012865073614639067,0.09744737256744099,0.1364119052886963
0.02,0.9006265360021795,0.9006265360021795,0.13399696129414693,0.012515115037724067,0.012500906560246319,0.09859026263214292,0.15570664405822754
0.025,1.0780083370960551,1.0780083370960551,0.1336296335980965,0.012181577009949084,0.012167529190556498,0.10002231172526989,0.13036394119262695
0.03,1.2389247232467993,1.2389247232467993,0.13330339077626238,0.011876385117132529,0.011863163794648952,0.10165411810112328,0.1513223648071289
0.035,1.3845909679074961,1.3845909679074961,0.13301532429699628,0.01159772717637821,0.011586069552119209,0.1034126313060199,0.16540265083312988
0.04,1.516137998117808,1.516137998117808,0.13276266295023773,0.01134388663830108,0.01133457280913815,0.1052389214227675,0.13492441177368164
0.045,1.6346180053658972,1.6346180053658972,0.13254279807163447,0.011113251564917354,0.011107077862194718,0.10708601985301805,0.14160585403442383
0.05,0.0,0.0,0.13235328712005467,0.010904312784039794,0.010902069531881078,0.10891697812615554,0.15593266487121582
