time,u_ctrl,y_meas_1,u_norm,p_norm,dE,cl,cd,runtime
0.0,3.2701239366050935e-06,0.004411056152024535,0.0,0.0,2.227134570374672e-05,-0.009713047778916845,0.8448905089378185,0.0
0.005,0.008348097934799474,0.003186000901725667,0.0,0.0,1.6402022183029115e-05,0.07323376021408307,1.0779073886284913,1.2424111366271973
0.01,0.013686866510560378,0.0025007658087801725,0.0,0.0,1.607051001839031e-05,-0.33528100998280685,1.1715649355847362,1.5051352977752686
0.015,0.017278116322508152,0.0019192212065989973,0.0,0.0,1.577508818193267e-05,-0.09724051376827546,1.140414478595367,0.2465360164642334
0.02,0.019455504657389735,0.0014332211557280576,0.0,0.0,1.5503724338899547e-05,-0.07117536629248898,1.1402942683532207,0.22455978393554688
0.025,0.02051197152122996,0.001030851856271871,0.0,0.0,1.5250420374228623e-05,-0.04161266907448009,1.1402690546403818,0.22360801696777344
0.03,0.020695544001486398,0.0006997788050862036,0.0,0.0,1.501169902538342e-05,-0.018155981598421633,1.1402750182500694,0.22352313995361328
0.035,0.0202118714268211,0.0004288515928639753,0.0,0.0,1.4785333923908898e-05,0.00017501991590086207,1.1402909766561102,0.22724103927612305
0.04,0.019229644769058248,0.00020844860487577755,0.0,0.0,1.4569781157020568e-05,0.01425784727921743,1.1403131232559303,0.22226715087890625
0.045,0.017886275348784255,3.0410699675103423e-05,0.0,0.0,1.4363895991394381e-05,0.024838417132942547,1.1403390563874243,0.22238492965698242
0.05,0.0,-0.00011213780576514525,0.0,0.0,1.4166780917956991e-05,0.03254728312339409,1.1403662503209344,0.2220768928527832
